"","G","Date","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","win_loss","team"
"1",1,"2019-10-23","DEN","L",100,108,36,87,0.414,7,28,0.25,21,23,0.913,13,48,13,9,4,20,25,0,"Blazers"
"2",2,"2019-10-25","SAC","W",122,112,46,85,0.541,11,30,0.367,19,22,0.864,5,40,23,8,5,16,23,1,"Blazers"
"3",3,"2019-10-27","DAL","W",121,119,45,87,0.517,9,22,0.409,22,26,0.846,7,48,13,6,4,16,30,2,"Blazers"
"4",4,"2019-10-28","SAS","L",110,113,39,100,0.39,10,33,0.303,22,27,0.815,9,49,19,4,8,10,27,1,"Blazers"
"5",5,"2019-10-30","OKC","W",102,99,34,86,0.395,17,35,0.486,17,24,0.708,9,49,19,9,8,17,30,1.5,"Blazers"
"6",6,"2019-11-02","PHI","L",128,129,45,78,0.577,19,34,0.559,19,25,0.76,4,36,21,7,4,18,21,1,"Blazers"
"7",7,"2019-11-04","GSW","L",118,127,47,105,0.448,13,40,0.325,11,14,0.786,16,44,16,5,6,6,23,0.75,"Blazers"
"8",8,"2019-11-07","LAC","L",101,107,39,104,0.375,11,39,0.282,12,16,0.75,17,51,18,7,4,13,27,0.6,"Blazers"
"9",9,"2019-11-08","BRK","L",115,119,40,97,0.412,11,30,0.367,24,25,0.96,13,48,11,3,9,10,24,0.5,"Blazers"
"10",10,"2019-11-10","ATL","W",124,113,45,104,0.433,12,36,0.333,22,28,0.786,16,61,19,10,9,17,22,0.666666666666667,"Blazers"
"11",11,"2019-11-12","SAC","L",99,107,34,77,0.442,8,30,0.267,23,30,0.767,7,40,15,4,5,17,19,0.571428571428571,"Blazers"
"12",12,"2019-11-13","TOR","L",106,114,38,96,0.396,17,48,0.354,13,16,0.813,11,43,24,3,7,12,16,0.5,"Blazers"
"13",13,"2019-11-16","SAS","W",121,116,42,93,0.452,13,39,0.333,24,26,0.923,9,48,21,2,4,12,20,0.625,"Blazers"
"14",14,"2019-11-18","HOU","L",108,132,40,96,0.417,11,36,0.306,17,23,0.739,12,44,28,7,5,17,21,0.555555555555556,"Blazers"
"15",15,"2019-11-19","NOP","L",104,115,40,92,0.435,16,29,0.552,8,13,0.615,11,48,20,5,4,17,23,0.5,"Blazers"
"16",16,"2019-11-21","MIL","L",129,137,50,103,0.485,17,39,0.436,12,14,0.857,9,41,32,6,11,8,27,0.454545454545455,"Blazers"
"17",17,"2019-11-23","CLE","L",104,110,39,87,0.448,14,40,0.35,12,16,0.75,6,38,21,6,6,10,20,0.416666666666667,"Blazers"
"18",18,"2019-11-25","CHI","W",117,94,46,89,0.517,8,27,0.296,17,22,0.773,13,55,23,8,5,15,20,0.5,"Blazers"
"19",19,"2019-11-27","OKC","W",136,119,49,94,0.521,14,30,0.467,24,24,1,10,54,23,3,1,9,32,0.583333333333333,"Blazers"
"20",20,"2019-11-29","CHI","W",107,103,38,84,0.452,10,30,0.333,21,28,0.75,8,49,20,6,11,13,21,0.666666666666667,"Blazers"
"21",21,"2019-12-03","LAC","L",97,117,39,91,0.429,7,27,0.259,12,15,0.8,12,49,20,5,6,13,23,0.615384615384615,"Blazers"
"22",22,"2019-12-04","SAC","W",127,116,47,84,0.56,16,32,0.5,17,21,0.81,6,43,28,6,10,12,18,0.692307692307692,"Blazers"
"23",23,"2019-12-06","LAL","L",113,136,39,86,0.453,10,34,0.294,25,29,0.862,4,34,20,9,4,15,25,0.642857142857143,"Blazers"
"24",24,"2019-12-08","OKC","L",96,108,36,100,0.36,9,33,0.273,15,18,0.833,18,51,16,7,8,8,26,0.6,"Blazers"
"25",25,"2019-12-10","NYK","W",115,87,39,90,0.433,17,41,0.415,20,24,0.833,11,58,20,6,7,12,21,0.666666666666667,"Blazers"
"26",26,"2019-12-12","DEN","L",99,114,41,86,0.477,9,30,0.3,8,11,0.727,7,35,22,4,7,8,16,0.625,"Blazers"
"27",1,"2019-10-24","HOU","W",117,111,46,99,0.465,16,46,0.348,9,18,0.5,6,53,31,7,10,11,27,NA,"Bucks"
"28",2,"2019-10-26","MIA","L",126,131,41,94,0.436,17,54,0.315,27,35,0.771,5,47,22,8,4,18,32,1,"Bucks"
"29",3,"2019-10-28","CLE","W",129,112,48,92,0.522,17,38,0.447,16,24,0.667,8,50,29,9,7,12,15,2,"Bucks"
"30",4,"2019-10-30","BOS","L",105,116,38,82,0.463,14,45,0.311,15,24,0.625,5,45,21,3,4,15,21,1,"Bucks"
"31",5,"2019-11-01","ORL","W",123,91,47,93,0.505,17,47,0.362,12,18,0.667,11,58,24,11,4,13,19,1.5,"Bucks"
"32",6,"2019-11-02","TOR","W",115,105,41,89,0.461,13,38,0.342,20,25,0.8,10,51,30,4,7,11,22,2,"Bucks"
"33",7,"2019-11-04","MIN","W",134,106,50,93,0.538,14,39,0.359,20,30,0.667,11,57,24,8,6,17,20,2.5,"Bucks"
"34",8,"2019-11-06","LAC","W",129,124,42,98,0.429,18,49,0.367,27,34,0.794,14,54,18,7,11,15,28,3,"Bucks"
"35",9,"2019-11-08","UTA","L",100,103,34,95,0.358,10,36,0.278,22,30,0.733,16,54,14,8,4,12,26,2,"Bucks"
"36",10,"2019-11-10","OKC","W",121,119,47,83,0.566,11,28,0.393,16,18,0.889,5,48,27,9,4,22,21,2.33333333333333,"Bucks"
"37",11,"2019-11-14","CHI","W",124,115,42,88,0.477,6,33,0.182,34,47,0.723,17,58,24,9,4,22,22,2.66666666666667,"Bucks"
"38",12,"2019-11-16","IND","W",102,83,43,96,0.448,11,39,0.282,5,7,0.714,8,55,23,6,8,14,13,3,"Bucks"
"39",13,"2019-11-18","CHI","W",115,101,38,82,0.463,15,41,0.366,24,35,0.686,8,48,24,12,9,15,16,3.33333333333333,"Bucks"
"40",14,"2019-11-20","ATL","W",135,127,46,87,0.529,17,43,0.395,26,34,0.765,8,46,25,6,8,19,25,3.66666666666667,"Bucks"
"41",15,"2019-11-21","POR","W",137,129,50,106,0.472,16,43,0.372,21,26,0.808,18,58,32,7,3,12,20,4,"Bucks"
"42",16,"2019-11-23","DET","W",104,90,41,84,0.488,13,37,0.351,9,18,0.5,9,49,25,10,8,21,14,4.33333333333333,"Bucks"
"43",17,"2019-11-25","UTA","W",122,118,43,97,0.443,13,41,0.317,23,29,0.793,15,49,21,6,6,9,15,4.66666666666667,"Bucks"
"44",18,"2019-11-27","ATL","W",111,102,42,88,0.477,10,34,0.294,17,27,0.63,10,47,25,6,11,14,23,5,"Bucks"
"45",19,"2019-11-29","CLE","W",119,110,45,88,0.511,12,34,0.353,17,23,0.739,11,47,28,7,4,13,15,5.33333333333333,"Bucks"
"46",20,"2019-11-30","CHO","W",137,96,54,96,0.563,20,44,0.455,9,15,0.6,7,53,41,7,3,7,13,5.66666666666667,"Bucks"
"47",21,"2019-12-02","NYK","W",132,88,48,86,0.558,16,35,0.457,20,32,0.625,10,57,30,7,4,13,23,6,"Bucks"
"48",22,"2019-12-04","DET","W",127,103,44,90,0.489,14,35,0.4,25,27,0.926,10,55,25,7,8,14,18,6.33333333333333,"Bucks"
"49",23,"2019-12-06","LAC","W",119,91,44,94,0.468,14,36,0.389,17,21,0.81,13,53,29,11,6,15,23,6.66666666666667,"Bucks"
"50",24,"2019-12-09","ORL","W",110,101,43,92,0.467,16,41,0.39,8,15,0.533,10,54,30,7,4,14,19,7,"Bucks"
"51",25,"2019-12-11","NOP","W",127,112,50,93,0.538,19,39,0.487,8,9,0.889,5,43,27,13,2,14,17,7.33333333333333,"Bucks"
"52",1,"2019-10-23","CHO","L",125,126,49,105,0.467,9,30,0.3,18,22,0.818,20,49,25,11,4,10,20,0,"Bulls"
"53",2,"2019-10-25","MEM","W",110,102,40,93,0.43,12,42,0.286,18,24,0.75,9,45,18,14,7,13,21,1,"Bulls"
"54",3,"2019-10-26","TOR","L",84,108,29,97,0.299,9,35,0.257,17,25,0.68,12,45,18,9,2,15,22,0.5,"Bulls"
"55",4,"2019-10-28","NYK","L",98,105,36,85,0.424,9,35,0.257,17,21,0.81,8,38,19,6,5,9,22,0.333333333333333,"Bulls"
"56",5,"2019-10-30","CLE","L",111,117,39,90,0.433,14,39,0.359,19,23,0.826,9,32,25,6,5,6,24,0.25,"Bulls"
"57",6,"2019-11-01","DET","W",112,106,39,89,0.438,16,40,0.4,18,23,0.783,11,42,29,6,1,17,18,0.5,"Bulls"
"58",7,"2019-11-03","IND","L",95,108,36,84,0.429,9,29,0.31,14,25,0.56,6,42,27,8,2,18,21,0.4,"Bulls"
"59",8,"2019-11-05","LAL","L",112,118,43,85,0.506,14,32,0.438,12,23,0.522,7,42,22,11,4,16,21,0.333333333333333,"Bulls"
"60",9,"2019-11-06","ATL","W",113,93,41,82,0.5,13,33,0.394,18,27,0.667,7,43,26,11,9,17,30,0.5,"Bulls"
"61",10,"2019-11-09","HOU","L",94,117,37,98,0.378,4,32,0.125,16,18,0.889,11,46,21,14,5,15,22,0.428571428571429,"Bulls"
"62",11,"2019-11-12","NYK","W",120,102,41,81,0.506,14,33,0.424,24,31,0.774,9,46,22,9,2,19,25,0.571428571428571,"Bulls"
"63",12,"2019-11-14","MIL","L",115,124,38,93,0.409,18,43,0.419,21,25,0.84,10,45,25,14,1,20,29,0.5,"Bulls"
"64",13,"2019-11-16","BRK","L",111,117,32,91,0.352,9,39,0.231,38,41,0.927,17,56,15,8,2,19,30,0.444444444444444,"Bulls"
"65",14,"2019-11-18","MIL","L",101,115,39,97,0.402,12,34,0.353,11,14,0.786,13,50,25,6,6,14,25,0.4,"Bulls"
"66",15,"2019-11-20","DET","W",109,89,39,91,0.429,14,27,0.519,17,26,0.654,12,55,25,9,7,14,24,0.5,"Bulls"
"67",16,"2019-11-22","MIA","L",108,116,41,90,0.456,10,30,0.333,16,20,0.8,14,41,23,11,3,13,24,0.454545454545455,"Bulls"
"68",17,"2019-11-23","CHO","W",116,115,43,95,0.453,22,47,0.468,8,12,0.667,13,39,27,12,3,13,20,0.545454545454545,"Bulls"
"69",18,"2019-11-25","POR","L",94,117,36,86,0.419,9,39,0.231,13,20,0.65,8,37,24,8,4,17,20,0.5,"Bulls"
"70",19,"2019-11-27","GSW","L",90,104,34,89,0.382,10,29,0.345,12,18,0.667,14,42,20,14,4,17,20,0.461538461538462,"Bulls"
"71",20,"2019-11-29","POR","L",103,107,36,94,0.383,14,38,0.368,17,25,0.68,11,47,24,8,2,11,22,0.428571428571429,"Bulls"
"72",21,"2019-12-02","SAC","W",113,106,36,75,0.48,16,37,0.432,25,29,0.862,3,32,20,9,0,18,20,0.5,"Bulls"
"73",22,"2019-12-04","MEM","W",106,99,33,77,0.429,13,33,0.394,27,37,0.73,10,50,22,5,13,20,22,0.571428571428571,"Bulls"
"74",23,"2019-12-06","GSW","L",98,100,39,88,0.443,17,41,0.415,3,5,0.6,10,37,21,11,2,14,20,0.533333333333333,"Bulls"
"75",24,"2019-12-08","MIA","L",105,110,35,80,0.438,13,36,0.361,22,27,0.815,6,39,20,8,1,14,31,0.5,"Bulls"
"76",25,"2019-12-09","TOR","L",92,93,35,89,0.393,12,46,0.261,10,14,0.714,9,45,30,6,4,14,20,0.470588235294118,"Bulls"
"77",26,"2019-12-11","ATL","W",136,102,54,94,0.574,11,24,0.458,17,19,0.895,7,42,32,15,7,13,25,0.529411764705882,"Bulls"
"78",1,"2019-10-23","ORL","L",85,94,33,88,0.375,9,34,0.265,10,15,0.667,10,54,20,8,2,16,15,0,"Cavs"
"79",2,"2019-10-26","IND","W",110,99,40,80,0.5,11,31,0.355,19,29,0.655,12,44,23,9,7,18,20,1,"Cavs"
"80",3,"2019-10-28","MIL","L",112,129,45,100,0.45,12,39,0.308,10,12,0.833,10,48,19,2,3,11,22,0.5,"Cavs"
"81",4,"2019-10-30","CHI","W",117,111,41,78,0.526,10,24,0.417,25,31,0.806,10,47,25,3,7,17,21,1,"Cavs"
"82",5,"2019-11-01","IND","L",95,102,32,87,0.368,11,32,0.344,20,25,0.8,3,45,20,9,1,16,21,0.666666666666667,"Cavs"
"83",6,"2019-11-03","DAL","L",111,131,39,96,0.406,18,48,0.375,15,22,0.682,12,41,24,9,4,9,14,0.5,"Cavs"
"84",7,"2019-11-05","BOS","L",113,119,40,95,0.421,13,33,0.394,20,22,0.909,11,43,22,3,6,9,18,0.4,"Cavs"
"85",8,"2019-11-08","WAS","W",113,100,41,90,0.456,6,27,0.222,25,29,0.862,17,48,18,10,5,12,17,0.6,"Cavs"
"86",9,"2019-11-10","NYK","W",108,87,36,82,0.439,8,28,0.286,28,31,0.903,9,45,20,11,2,14,19,0.8,"Cavs"
"87",10,"2019-11-12","PHI","L",97,98,38,86,0.442,5,21,0.238,16,20,0.8,9,45,13,10,0,13,13,0.666666666666667,"Cavs"
"88",11,"2019-11-14","MIA","L",97,108,36,85,0.424,8,32,0.25,17,21,0.81,11,41,18,14,2,18,16,0.571428571428571,"Cavs"
"89",12,"2019-11-17","PHI","L",95,114,34,90,0.378,6,25,0.24,21,24,0.875,11,42,14,9,5,14,21,0.5,"Cavs"
"90",13,"2019-11-18","NYK","L",105,123,36,76,0.474,17,36,0.472,16,30,0.533,10,41,18,2,1,19,26,0.444444444444444,"Cavs"
"91",14,"2019-11-20","MIA","L",100,124,37,87,0.425,12,38,0.316,14,16,0.875,10,34,19,13,2,19,23,0.4,"Cavs"
"92",15,"2019-11-22","DAL","L",101,143,37,86,0.43,12,29,0.414,15,17,0.882,8,34,23,3,3,10,15,0.363636363636364,"Cavs"
"93",16,"2019-11-23","POR","W",110,104,37,87,0.425,10,31,0.323,26,32,0.813,9,52,19,9,2,13,14,0.454545454545455,"Cavs"
"94",17,"2019-11-25","BRK","L",106,108,40,94,0.426,13,32,0.406,13,20,0.65,12,45,24,5,4,10,14,0.416666666666667,"Cavs"
"95",18,"2019-11-27","ORL","L",104,116,37,81,0.457,11,34,0.324,19,22,0.864,12,49,20,5,0,25,15,0.384615384615385,"Cavs"
"96",19,"2019-11-29","MIL","L",110,119,44,88,0.5,17,34,0.5,5,10,0.5,8,41,32,7,1,14,22,0.357142857142857,"Cavs"
"97",20,"2019-12-03","DET","L",94,127,38,90,0.422,8,27,0.296,10,14,0.714,12,40,16,6,6,13,11,0.333333333333333,"Cavs"
"98",21,"2019-12-06","ORL","L",87,93,35,83,0.422,10,34,0.294,7,10,0.7,10,45,22,9,7,16,19,0.3125,"Cavs"
"99",22,"2019-12-07","PHI","L",94,141,36,96,0.375,9,35,0.257,13,17,0.765,11,35,20,4,0,17,17,0.294117647058824,"Cavs"
"100",23,"2019-12-09","BOS","L",88,110,36,91,0.396,7,31,0.226,9,19,0.474,18,45,18,8,2,18,11,0.277777777777778,"Cavs"
"101",24,"2019-12-11","HOU","L",110,116,46,89,0.517,13,32,0.406,5,8,0.625,9,36,29,8,4,15,15,0.263157894736842,"Cavs"
"102",25,"2019-12-12","SAS","W",117,109,44,96,0.458,15,45,0.333,14,20,0.7,11,50,22,6,3,18,22,0.315789473684211,"Cavs"
"103",1,"2019-10-23","PHI","L",93,107,33,90,0.367,7,26,0.269,20,34,0.588,10,41,18,4,2,10,29,0,"Celtics"
"104",2,"2019-10-25","TOR","W",112,106,42,109,0.385,13,38,0.342,15,16,0.938,21,56,21,10,8,9,20,1,"Celtics"
"105",3,"2019-10-26","NYK","W",118,95,42,93,0.452,15,41,0.366,19,29,0.655,13,46,24,14,9,12,26,2,"Celtics"
"106",4,"2019-10-30","MIL","W",116,105,41,92,0.446,17,41,0.415,17,21,0.81,5,45,25,4,4,9,20,3,"Celtics"
"107",5,"2019-11-01","NYK","W",104,102,33,74,0.446,11,34,0.324,27,29,0.931,3,44,21,7,4,14,16,4,"Celtics"
"108",6,"2019-11-05","CLE","W",119,113,48,85,0.565,12,30,0.4,11,15,0.733,4,45,24,5,12,14,23,5,"Celtics"
"109",7,"2019-11-07","CHO","W",108,87,40,93,0.43,10,33,0.303,18,23,0.783,11,52,29,13,5,12,19,6,"Celtics"
"110",8,"2019-11-09","SAS","W",135,115,48,94,0.511,14,37,0.378,25,28,0.893,7,43,28,11,11,8,25,7,"Celtics"
"111",9,"2019-11-11","DAL","W",116,106,41,86,0.477,15,35,0.429,19,25,0.76,10,46,25,4,5,9,27,8,"Celtics"
"112",10,"2019-11-13","WAS","W",140,133,49,96,0.51,16,36,0.444,26,29,0.897,10,44,32,5,5,11,26,9,"Celtics"
"113",11,"2019-11-15","GSW","W",105,100,37,91,0.407,13,33,0.394,18,23,0.783,11,47,24,13,5,14,24,10,"Celtics"
"114",12,"2019-11-17","SAC","L",99,100,34,82,0.415,10,30,0.333,21,24,0.875,10,46,26,7,3,14,14,5,"Celtics"
"115",13,"2019-11-18","PHO","W",99,85,37,89,0.416,12,41,0.293,13,17,0.765,11,52,22,12,5,17,21,5.5,"Celtics"
"116",14,"2019-11-20","LAC","L",104,107,41,104,0.394,12,45,0.267,10,14,0.714,18,53,26,11,2,17,22,3.66666666666667,"Celtics"
"117",15,"2019-11-22","DEN","L",92,96,33,81,0.407,7,27,0.259,19,23,0.826,5,40,21,12,6,11,19,2.75,"Celtics"
"118",16,"2019-11-25","SAC","W",103,102,38,85,0.447,7,30,0.233,20,23,0.87,11,38,20,10,4,11,16,3,"Celtics"
"119",17,"2019-11-27","BRK","W",121,110,43,97,0.443,13,34,0.382,22,24,0.917,19,55,23,10,5,14,17,3.25,"Celtics"
"120",18,"2019-11-29","BRK","L",107,112,41,93,0.441,9,28,0.321,16,21,0.762,16,48,16,11,7,19,14,2.6,"Celtics"
"121",19,"2019-12-01","NYK","W",113,104,41,93,0.441,15,41,0.366,16,22,0.727,16,44,25,5,7,13,28,2.8,"Celtics"
"122",20,"2019-12-04","MIA","W",112,93,35,79,0.443,16,41,0.39,26,32,0.813,10,46,21,8,8,10,20,3,"Celtics"
"123",21,"2019-12-06","DEN","W",108,95,44,82,0.537,13,35,0.371,7,8,0.875,4,37,21,5,5,15,23,3.2,"Celtics"
"124",22,"2019-12-09","CLE","W",110,88,45,78,0.577,15,27,0.556,5,8,0.625,5,39,22,8,9,18,19,3.4,"Celtics"
"125",23,"2019-12-11","IND","L",117,122,43,87,0.494,14,36,0.389,17,22,0.773,8,44,25,6,4,15,27,2.83333333333333,"Celtics"
"126",24,"2019-12-12","PHI","L",109,115,42,91,0.462,11,31,0.355,14,17,0.824,9,33,24,4,7,6,25,2.42857142857143,"Celtics"
"127",1,"2019-10-22","LAL","W",112,102,42,81,0.519,11,31,0.355,17,24,0.708,11,45,24,8,5,14,25,NA,"Clippers"
"128",2,"2019-10-24","GSW","W",141,122,50,80,0.625,18,32,0.563,23,30,0.767,3,39,33,7,5,17,24,NA,"Clippers"
"129",3,"2019-10-26","PHO","L",122,130,40,87,0.46,11,32,0.344,31,39,0.795,10,41,20,8,4,12,32,2,"Clippers"
"130",4,"2019-10-28","CHO","W",111,96,40,83,0.482,12,33,0.364,19,21,0.905,9,44,23,11,8,21,24,3,"Clippers"
"131",5,"2019-10-30","UTA","L",96,110,39,82,0.476,8,23,0.348,10,12,0.833,6,36,19,3,4,19,22,1.5,"Clippers"
"132",6,"2019-10-31","SAS","W",103,97,39,91,0.429,5,26,0.192,20,27,0.741,11,47,16,9,1,11,23,2,"Clippers"
"133",7,"2019-11-03","UTA","W",105,94,36,92,0.391,7,32,0.219,26,34,0.765,18,54,15,7,6,9,25,2.5,"Clippers"
"134",8,"2019-11-06","MIL","L",124,129,41,98,0.418,13,31,0.419,29,36,0.806,14,54,21,4,3,19,28,1.66666666666667,"Clippers"
"135",9,"2019-11-07","POR","W",107,101,39,89,0.438,4,23,0.174,25,30,0.833,13,57,20,6,12,17,14,2,"Clippers"
"136",10,"2019-11-11","TOR","W",98,88,34,92,0.37,8,36,0.222,22,30,0.733,20,66,25,9,7,19,21,2.33333333333333,"Clippers"
"137",11,"2019-11-13","HOU","L",93,102,38,98,0.388,10,33,0.303,7,14,0.5,11,53,17,3,3,13,21,1.75,"Clippers"
"138",12,"2019-11-14","NOP","L",127,132,46,84,0.548,11,24,0.458,24,31,0.774,6,37,28,6,6,16,22,1.4,"Clippers"
"139",13,"2019-11-16","ATL","W",150,101,50,93,0.538,17,33,0.515,33,35,0.943,12,53,30,10,12,19,28,1.6,"Clippers"
"140",14,"2019-11-18","OKC","W",90,88,35,87,0.402,10,36,0.278,10,14,0.714,13,49,23,7,5,17,25,1.8,"Clippers"
"141",15,"2019-11-20","BOS","W",107,104,39,93,0.419,17,45,0.378,12,16,0.75,14,53,26,12,9,23,18,2,"Clippers"
"142",16,"2019-11-22","HOU","W",122,119,45,87,0.517,13,33,0.394,19,24,0.792,10,47,27,9,4,19,32,2.2,"Clippers"
"143",17,"2019-11-24","NOP","W",134,109,46,98,0.469,16,43,0.372,26,33,0.788,16,56,27,4,5,6,21,2.4,"Clippers"
"144",18,"2019-11-26","DAL","W",114,99,41,97,0.423,11,33,0.333,21,30,0.7,17,56,22,12,3,14,27,2.6,"Clippers"
"145",19,"2019-11-27","MEM","W",121,119,44,95,0.463,14,41,0.341,19,25,0.76,13,43,30,11,6,15,24,2.8,"Clippers"
"146",20,"2019-11-29","SAS","L",97,107,36,92,0.391,12,33,0.364,13,13,1,9,48,23,6,5,14,17,2.33333333333333,"Clippers"
"147",21,"2019-12-01","WAS","W",150,125,52,94,0.553,14,32,0.438,32,40,0.8,10,52,22,8,5,16,25,2.5,"Clippers"
"148",22,"2019-12-03","POR","W",117,97,43,94,0.457,17,34,0.5,14,25,0.56,11,49,25,7,3,10,15,2.66666666666667,"Clippers"
